100000,0.108,0.002
150000,0.204,0.03
200000,0.304,0.03
250000,0.424,0.034
300000,0.596,0.026
350000,0.636,0.03
400000,1.02,0.046
450000,1.42,0.045
500000,1.98,0.05
550000,2.89,0.075
600000,4.59,0.085
650000,8.52,0.14
700000,13.2,0.25
750000,8.24,0.13
800000,4.96,0.06
850000,3.53,0.065
900000,2.69,0.045
950000,2.17,0.04
1000000,1.81,0.025
1050000,1.56,0.03
1100000,1.35,0.015
1150000,1.2,0.02
1200000,1.08,0.02
1250000,0.98,0.017
1300000,0.896,0.017
1350000,0.824,0.019
1400000,0.756,0.015
610000,5.1,0.09
620000,5.7,0.09
630000,6.46,0.12
640000,7.44,0.14
650000,8.54,0.15
660000,9.96,0.18
670000,11.3,0.15
680000,12.5,0.15
690000,13.2,0.2
700000,13.2,0.2
710000,12.6,0.2
720000,11.6,0.2
730000,10.4,0.1
740000,9.22,0.11
750000,8.18,0.09
760000,7.34,0.11
770000,6.6,0.1
780000,5.94,0.09
790000,5.42,0.09
820000,4.27,0.055
580000,3.74,0.06
695000,13.24,0.1
