1.01,3.12,0.1
1.5,4.56,0.1
2.03,5.94,0.04
2.53,7.48,0.06
3.03,9,0.06
3.53,10.4,0.05
4.03,12,0.1
4.53,13.4,0.1
4.98,15,0.15
5.46,16.9,0.3
5.98,18.3,0.2
6.46,19.7,0.25
6.96,21.3,0.35
7.52,22.9,0.35
7.96,24.3,0.25
8.5,25.6,0.2
8.96,27.2,0.3
