10,0.93,0.0186
20,0.82,0.0164
30,0.71,0.0142
40,0.6,0.012
50,0.52,0.0104
70,0.402,0.00804
90,0.324,0.00648
110,0.27,0.0054
150,0.201,0.00402
200,0.152,0.00304
250,0.121,0.00242
500,0.062,0.00124
1000,0.031,0.00062
5000,0.00615,0.000123
10000,0.00311,0.0000622
